timestamp,long_flux,short_flux,goes_class
2025-07-28 03:56:00,1.3686026753274462e-06,3.5584840691591184e-08,C
2025-07-28 03:57:00,1.3610153033726821e-06,3.466435217558042e-08,C
2025-07-28 03:58:00,1.360894422580967e-06,3.199769261210465e-08,C
2025-07-28 03:59:00,1.387531979236853e-06,3.3063257880184264e-08,C
2025-07-28 04:00:00,1.410541078824236e-06,3.395591914021284e-08,C
2025-07-28 04:01:00,1.4550123561078732e-06,3.8514605071688985e-08,C
2025-07-28 04:02:00,1.5416132562856293e-06,4.859641776056751e-08,C
2025-07-28 04:03:00,1.587816737050102e-06,5.1524207123065935e-08,C
2025-07-28 04:04:00,1.5938704344259096e-06,4.972600688954124e-08,C
2025-07-28 04:05:00,1.6250651484727716e-06,5.4492518504819926e-08,C
2025-07-28 04:06:00,1.6465471076787895e-06,5.221875746380393e-08,C
2025-07-28 04:07:00,1.6381512583005835e-06,4.677376906193249e-08,C
2025-07-28 04:08:00,1.6579885920289033e-06,4.783857221468679e-08,C
2025-07-28 04:09:00,1.7862382309595275e-06,6.17676440268668e-08,C
2025-07-28 04:10:00,1.8556346522465721e-06,6.584669048994537e-08,C
2025-07-28 04:11:00,1.7973226305435136e-06,5.488067175206868e-08,C
2025-07-28 04:12:00,1.7510012378911373e-06,5.3213735290709054e-08,C
2025-07-28 04:13:00,1.7013767785370038e-06,4.898582482453884e-08,C
2025-07-28 04:14:00,1.6275538036709015e-06,3.9568060696789876e-08,C
2025-07-28 04:15:00,1.5497077982695001e-06,3.247004307685749e-08,C
2025-07-28 04:16:00,1.4970400466378033e-06,3.237711704568881e-08,C
2025-07-28 04:17:00,1.4826614535165584e-06,3.146819299127039e-08,C
2025-07-28 04:18:00,1.4710030509526345e-06,3.296902854182664e-08,C
2025-07-28 04:19:00,1.4441534571620858e-06,3.154964358253292e-08,C
2025-07-28 04:20:00,1.3997720912573373e-06,3.6587742436848375e-08,C
2025-07-28 04:21:00,1.3639311359316915e-06,2.501992804922898e-08,C
2025-07-28 04:22:00,1.3374157553519835e-06,2.2718266654054835e-08,C
2025-07-28 04:23:00,1.3153576834365147e-06,2.0151132411168677e-08,C
2025-07-28 04:24:00,1.3002366574896695e-06,2.2877829799993217e-08,C
2025-07-28 04:25:00,1.2943232161246743e-06,2.299213553973008e-08,C
2025-07-28 04:26:00,1.2872513394302319e-06,2.395144608694081e-08,C
2025-07-28 04:27:00,1.2846140023492674e-06,2.8257507648906173e-08,C
2025-07-28 04:28:00,1.2829674218307044e-06,2.6838054227072625e-08,C
2025-07-28 04:29:00,1.3112799061658376e-06,2.756110954760795e-08,C
2025-07-28 04:30:00,1.3475989332812891e-06,2.9255899549934885e-08,C
2025-07-28 04:31:00,1.3840847259416478e-06,2.942967002335532e-08,C
2025-07-28 04:32:00,1.4210204370578678e-06,3.1822995590228765e-08,C
2025-07-28 04:33:00,1.4458012528252094e-06,3.1769017682475046e-08,C
2025-07-28 04:34:00,1.4532398869855793e-06,3.269930564571399e-08,C
2025-07-28 04:35:00,1.455339852476695e-06,3.490586011855053e-08,C
2025-07-28 04:36:00,1.456341440971897e-06,3.4431096400229854e-08,C
2025-07-28 04:37:00,1.4527909395271352e-06,3.254477668049816e-08,C
2025-07-28 04:38:00,1.4526554005882287e-06,3.261921507401655e-08,C
2025-07-28 04:39:00,1.45460773347011e-06,3.1931869461895535e-08,C
2025-07-28 04:40:00,1.4579773256091207e-06,3.0871352803797724e-08,C
2025-07-28 04:41:00,1.4580928500734324e-06,3.214766493082137e-08,C
2025-07-28 04:42:00,1.462364105568444e-06,3.007055274001449e-08,C
2025-07-28 04:43:00,1.4860769714105713e-06,3.0699887775829323e-08,C
2025-07-28 04:44:00,1.5154478131110215e-06,3.26079836938919e-08,C
2025-07-28 04:45:00,1.5320278940694674e-06,3.349529991075102e-08,C
2025-07-28 04:46:00,1.5357014195823929e-06,3.449208487497389e-08,C
2025-07-28 04:47:00,1.5247453295726656e-06,3.3016212190436e-08,C
2025-07-28 04:48:00,1.5082195499208403e-06,3.210163809820292e-08,C
2025-07-28 04:49:00,1.487234909127139e-06,3.052116551479506e-08,C
